Designator,Mid X,Mid Y,Rotation,Layer
C1,254.0,-98.5,180.0,top
C10,142.285,-93.38,0.0,top
C11,108.825,-93.38,0.0,top
C12,175.325,-93.38,0.0,top
C13,108.865,-121.62,0.0,top
C14,241.335,-122.12,0.0,top
C15,208.02,-93.38,0.0,top
C16,216.0,-94.0,0.0,top
C17,116.0,-127.5,0.0,top
C18,183.5,-127.5,0.0,top
C2,216.0,-127.5,0.0,top
C3,150.25,-93.25,0.0,top
C4,255.5,-108.0,180.0,top
C5,150.5,-127.5,0.0,top
C6,208.285,-121.62,0.0,top
C7,142.325,-121.62,0.0,top
C8,241.5,-93.0,0.0,top
C9,175.365,-121.62,0.0,top
D1,249.0,-116.5,270.0,top
F1,250.0,-123.0,180.0,top
FAN1,253.52,-87.5,90.0,top
H10A,230.96,-103.0,270.0,top
H10B,230.96,-118.24,90.0,top
H1A,98.5,-74.26,270.0,top
H1B,98.5,-89.5,90.0,top
H2A,131.96,-74.26,270.0,top
H2B,131.96,-89.5,90.0,top
H3A,165.0,-74.26,270.0,top
H3B,165.0,-89.5,90.0,top
H4A,197.92,-74.26,270.0,top
H4B,197.92,-89.5,90.0,top
H5A,230.92,-74.26,270.0,top
H5B,230.92,-89.5,90.0,top
H6A,98.54,-103.0,270.0,top
H6B,98.54,-118.24,90.0,top
H7A,132.0,-103.0,270.0,top
H7B,132.0,-118.24,90.0,top
H8A,165.04,-103.0,270.0,top
H8B,165.04,-118.24,90.0,top
H9A,197.96,-103.0,270.0,top
H9B,197.96,-118.24,90.0,top
J1,100.0,-59.0,0.0,top
J10,240.0,-135.96,180.0,top
J11,261.425,-119.0,90.0,top
J2,135.0,-59.0,0.0,top
J3,170.0,-59.0,0.0,top
J4,205.0,-59.0,0.0,top
J5,240.0,-59.0,0.0,top
J6,100.0,-135.96,180.0,top
J7,135.0,-135.96,180.0,top
J8,170.0,-135.96,180.0,top
J9,205.0,-135.96,180.0,top
K1,112.5,-60.0,0.0,top
K10,250.0,-131.0,0.0,top
K2,147.5,-60.0,0.0,top
K3,182.5,-60.0,0.0,top
K4,217.5,-60.0,0.0,top
K5,249.5,-64.5,0.0,top
K6,112.5,-135.0,0.0,top
K7,147.5,-135.0,0.0,top
K8,182.5,-135.0,0.0,top
K9,217.5,-135.0,0.0,top
R1,255.175,-120.0,0.0,top
R2,255.175,-118.0,0.0,top
